iter	RMSE
309	0.884685268
310	0.8826695595
311	0.8816173858
312	0.8796723076
313	0.8795229629
314	0.8768221071
315	0.8739668142
316	0.8714997298
317	0.869105482
318	0.8671742517
319	0.8654193845
320	0.8645348772
321	0.8620899695
322	0.8595551227
323	0.8593726775
324	0.8577705127
325	0.8570397758
326	0.8563365415
327	0.8544338937
328	0.8534050641
329	0.85325935
330	0.8507222208
331	0.8505952647
332	0.8487479501
333	0.8475830688
334	0.8453975397
335	0.8429241815
336	0.8422785341
337	0.8421058765
338	0.8400022506
339	0.8388596405
340	0.8381135236
341	0.8369565707
342	0.8368270243
343	0.8349199602
344	0.833422656
345	0.8323733071
346	0.8311612779
347	0.8286957962
348	0.8285642158
349	0.8272387729
350	0.8256409707
351	0.8239286328
352	0.8223606429
353	0.8206837986
354	0.8188898243
355	0.8166536766
356	0.8155305051
357	0.8150329032
358	0.8132395573
359	0.8115944554
360	0.8099842926
361	0.8071853513
362	0.8058253427
363	0.8050674098
364	0.8044508444
365	0.8017363317
366	0.7998383669
367	0.798269421
368	0.7970025977
369	0.7947336034
370	0.7928958061
371	0.7913148552
372	0.7908106151
373	0.7890797463
374	0.7871244346
375	0.7849250281
376	0.783121128
377	0.7815434578
378	0.7805386879
379	0.77984834
380	0.777707703
381	0.7751007791
382	0.7736350487
383	0.772701157
384	0.7709192157
385	0.7692193476
386	0.7682490419
387	0.7676126353
388	0.7663277197
389	0.7646782048
390	0.7632733209
391	0.7624976649
392	0.7610931604
393	0.7580534853
394	0.756421293
395	0.7544986312
396	0.7535928625
397	0.7519463746
398	0.7504565533
399	0.7490387422
400	0.7480601006
401	0.7479769744
402	0.7470532202
403	0.7455248858
404	0.7448244855
405	0.7435528623
406	0.7413703577
407	0.7412643109
408	0.7400098146
409	0.7387546638
410	0.7371761298
411	0.7357304612
412	0.7352188599
413	0.7310812119
414	0.7309896815
415	0.7284865612
416	0.7274692821
417	0.7270961975
418	0.7255818351
419	0.7231173431
420	0.7224090758
421	0.7219417683
422	0.7202486364
423	0.7174523362
424	0.716125017
425	0.714365375
426	0.7130463546
427	0.712714972
428	0.7113422562
429	0.7095889579
430	0.7080020436
431	0.7066365822
432	0.7051244787
433	0.702578611
434	0.7016646158
435	0.7008995978
436	0.6996387302
437	0.6959716454
438	0.6946513488
439	0.6930907092
440	0.6918190913
441	0.6917310945
442	0.6907688267
443	0.6886267464
444	0.6885409023
445	0.6884578978
446	0.6870598488
447	0.6862784056
448	0.6850003192
449	0.6833714858
450	0.6815257334
451	0.6801568542
452	0.6787369864
453	0.6779181992
454	0.6769475671
455	0.6751864445
456	0.6736391621
457	0.6733588684
458	0.6722219151
459	0.6701778264
460	0.6691332615
461	0.668314307
462	0.6675563066
463	0.6662276497
464	0.664999815
465	0.6632141734
466	0.6611961811
467	0.6593714898
468	0.6579142206
469	0.6571057092
470	0.6556082019
471	0.6542784734
472	0.6542135138
473	0.6524218664
474	0.6518398984
475	0.6506323128
476	0.649014313
477	0.647938761
478	0.6462237872
479	0.6454269369
480	0.6438620751
481	0.6418295257
482	0.6407388826
483	0.6385938739
484	0.6376382455
485	0.6362844136
486	0.6349326635
487	0.6336909859
488	0.6317562851
489	0.6296847182
490	0.6283842135
491	0.6278822503
492	0.6270981223
493	0.625136287
494	0.6233809721
495	0.6233127594
496	0.6223900212
497	0.6218557271
498	0.6196843899
499	0.6191216783
500	0.6184248052
501	0.6177992942
502	0.6168823816
503	0.6156385844
504	0.615101996
505	0.6136178738
506	0.6123715109
507	0.6097257804
508	0.60815366
509	0.6063286622
510	0.6048777985
511	0.6041791768
512	0.6035529549
513	0.603228535
514	0.6022885943
515	0.6012378588
516	0.5999042117
517	0.5986089081
518	0.5985064259
519	0.5970162374
520	0.5958578517
521	0.5936187737
522	0.5921446949
523	0.5914167986
524	0.5909764969
525	0.5899789665
526	0.5892766042
527	0.5881150709
528	0.5868152294
529	0.5861153107
530	0.5853753533
531	0.5839754491
532	0.5834780724
533	0.5826778011
534	0.5822564166
535	0.5811898902
536	0.5801371485
537	0.5792907764
538	0.5763550976
539	0.5753003273
540	0.5744836349
541	0.5738171456
542	0.5715077701
543	0.5701869607
544	0.5698992618
545	0.5679413876
546	0.5667350367
547	0.565441516
548	0.5645081698
549	0.5636131977
550	0.5623187094
551	0.5612711978
552	0.5596993117
553	0.5590481669
554	0.5589944584
555	0.5578687239
556	0.5572304641
557	0.5566188817
558	0.5554684413
559	0.5538215462
560	0.5529136359
561	0.5517928996
562	0.5510512225
563	0.550402164
564	0.5496790888
565	0.5491002588
566	0.5484740852
567	0.5484186162
568	0.5472234967
569	0.5454993333
570	0.5454385436
571	0.5445480731
572	0.5429251628
573	0.542610839
574	0.5409129265
575	0.5396476252
576	0.5390880781
577	0.5386666676
578	0.5379474391
579	0.5375298067
580	0.5364254728
581	0.5351086417
582	0.5339950729
583	0.5327338669
584	0.5318535944
585	0.5311221317
586	0.5307086273
587	0.5298001586
588	0.528821589
589	0.527673404
590	0.5263709373
591	0.524206559
592	0.5238880324
593	0.5235562758
594	0.5235071904
595	0.522120856
596	0.5206608154
597	0.519748675
598	0.5185929884
599	0.5176749318
600	0.5168374356
601	0.5153684152
602	0.5146802455
603	0.5138324125
604	0.5131506576
605	0.511989108
606	0.5106532953
607	0.5099162551
608	0.5093186573
609	0.5085720865
610	0.5081473606
611	0.5080809239
612	0.5068873789
613	0.5065635459
614	0.5056165272
615	0.5045734432
616	0.5035384555
617	0.5029693757
618	0.5019097793
619	0.5008025416
620	0.4999612767
621	0.4992942966
622	0.4989893031
623	0.4983378218
624	0.4973530402
625	0.4963239575
626	0.4956704492
627	0.4948729912
628	0.493784654
629	0.4928615953
630	0.4911887907
631	0.4909669219
632	0.4902729527
633	0.4896370905
634	0.4884590869
635	0.4874518926
636	0.4866656734
637	0.4857734865
638	0.4851013444
639	0.4846488361
640	0.4837401232
641	0.4830098854
642	0.4822322553
643	0.4815424844
644	0.4810399714
645	0.4796590696
646	0.4788670632
647	0.4778391156
648	0.4777875905
649	0.4772615298
650	0.4767526432
651	0.4760729995
652	0.4744583349
653	0.4732146163
654	0.4723229328
655	0.4716047682
656	0.4715673116
657	0.4705664843
658	0.4697728269
659	0.4691027376
660	0.4682552944
661	0.4682143625
662	0.4666113823
663	0.4658341877
664	0.4651340644
665	0.4643866114
666	0.4629911683
667	0.4619763504
668	0.4612549781
669	0.46088167
670	0.4593684257
671	0.4574889248
672	0.4565133709
673	0.4551952432
674	0.4544418624
675	0.4537389525
676	0.453696229
677	0.4522307562
678	0.4512572388
679	0.4505333771
680	0.4492707815
681	0.448628791
682	0.4475952412
683	0.4475508862
684	0.4460444223
685	0.4460009007
686	0.4452437067
687	0.4442759064
688	0.4434929553
689	0.4432848846
690	0.4424049188
691	0.4420777411
692	0.4411303647
693	0.439964607
694	0.4382753866
695	0.4376379033
696	0.4362237848
697	0.4349228681
698	0.4341848226
699	0.4341440705
700	0.4332552207
701	0.4326772136
702	0.4319325761
703	0.4315491063
704	0.430543922
705	0.42986422
706	0.4289411774
707	0.4287135895
708	0.4286741169
709	0.4280311778
710	0.4276534957
711	0.4271092132
712	0.426360419
713	0.4253728902
714	0.4244955054
715	0.4240137692
716	0.4227218772
717	0.4212345629
718	0.4206532918
719	0.4200976
720	0.4193050562
721	0.4188445362
722	0.4178898035
723	0.4166774875
724	0.4158196748
725	0.4147898102
726	0.4139188707
727	0.4130690305
728	0.4114055471
729	0.4103991438
730	0.4096326803
731	0.4084157182
732	0.4073521061
733	0.4067366896
734	0.4057624173
735	0.4050495226
736	0.4043414944
737	0.4040481077
738	0.403232093
739	0.4025577986
740	0.4017220906
741	0.4009008719
742	0.4000844514
743	0.3994747395
744	0.3987704516
745	0.3981260886
746	0.3970854244
747	0.3959051633
748	0.3947373634
749	0.3943913375
750	0.3935474913
751	0.3925271911
752	0.3920617101
753	0.3917427658
754	0.3903095017
755	0.3897076006
756	0.388405042
757	0.3878346705
758	0.3876171225
759	0.3874827941
760	0.3864375553
761	0.3861430694
762	0.3852903471
763	0.3850274657
764	0.3839251198
765	0.3834879657
766	0.3825157861
767	0.3819829707
768	0.3811428971
769	0.3809641255
770	0.3801451122
771	0.3796970169
772	0.3792990655
773	0.3785909431
774	0.3781026416
775	0.3773553981
776	0.3770070834
777	0.3762968734
778	0.3757422492
779	0.3749797107
780	0.3741471727
781	0.3736168167
782	0.3725547453
783	0.3714218027
784	0.3709697113
785	0.3704090938
786	0.36976742
787	0.3691365842
788	0.368131804
789	0.3670545348
790	0.3670276148
791	0.366680806
792	0.3661106231
793	0.3654824583
794	0.3644540084
795	0.363365348
796	0.3633345259
797	0.3626723583
798	0.362295336
799	0.3612439597
800	0.3609432171
801	0.3600838748
802	0.3600263875
803	0.3587073079
804	0.3580763695
805	0.3577515268
806	0.357198582
807	0.3566097967
808	0.3559375672
809	0.3547237774
810	0.3536199813
811	0.3530578321
812	0.3522306606
813	0.3515792331
814	0.3507659263
815	0.3502386806
816	0.3496587744
817	0.3492583209
818	0.3486080961
819	0.3485297122
820	0.3484275948
821	0.3480729105
822	0.3477960322
823	0.3477263264
824	0.3468364312
825	0.3465092659
826	0.3453740859
827	0.3450819756
828	0.3445450113
829	0.3443329406
830	0.3433639005
831	0.342908974
832	0.34217229
833	0.3417397962
834	0.3414049511
835	0.340542609
836	0.3402568381
837	0.339075827
838	0.3384620603
839	0.3381728251
840	0.3373367308
841	0.3367641294
842	0.336343316
843	0.3359647484
844	0.3354069121
845	0.334811945
846	0.334197412
847	0.3337129826
848	0.3327916306
849	0.3324805713
850	0.3322529597
851	0.3309932516
852	0.3299105219
853	0.3289938789
854	0.3284660435
855	0.3276861697
856	0.3269507945
857	0.3266706111
858	0.3257891094
859	0.3257269741
860	0.3254304199
861	0.3246883295
862	0.3243784611
863	0.3242514584
864	0.3230752192
865	0.3227854058
866	0.3225400903
867	0.3219063443
868	0.3218053609
869	0.321733128
870	0.3212950481
871	0.3207479602
872	0.319755273
873	0.3191968403
874	0.3185232606
875	0.3179487238
876	0.3175914826
877	0.3168065915
878	0.3167148495
879	0.3166899962
880	0.3165060946
881	0.3158441428
882	0.3154771824
883	0.3154295232
884	0.3148901336
885	0.3141758347
886	0.3137145639
887	0.3131522872
888	0.3119809129
889	0.3115352483
890	0.3110491511
891	0.3110260633
892	0.3104338858
893	0.3102045425
894	0.3095691095
895	0.3092270729
896	0.3091365326
897	0.3087072509
898	0.3083176674
899	0.3077835599
900	0.306935603
901	0.3062099052
902	0.3061324964
903	0.3061029382
904	0.3053482157
905	0.3048693839
906	0.3044907188
907	0.3043759289
908	0.3041116908
909	0.3032366679
910	0.3030562197
911	0.3023548742
912	0.3021092543
913	0.3013318813
914	0.3004489239
915	0.3000987257
916	0.2992802404
917	0.2987164026
918	0.2976259735
919	0.2976035042
920	0.296643789
921	0.296206622
922	0.2961837232
923	0.2958225986
924	0.2952569682
925	0.2948107389
926	0.2946134269
927	0.2942081299
928	0.2939377695
929	0.2936655628
930	0.2929975362
931	0.2925773934
932	0.2920393683
933	0.2912763119
934	0.2906123048
935	0.2897896522
936	0.2895047634
937	0.2889155174
938	0.2881267148
939	0.2877360227
940	0.2872269344
941	0.2870764714
942	0.2864655153
943	0.2859361247
944	0.2852612732
945	0.2846369805
946	0.2843178774
947	0.2840574572
948	0.2836506195
949	0.2836267128
950	0.2830613806
951	0.2822736682
952	0.2821318753
953	0.2815618901
954	0.2813882422
955	0.2812931684
956	0.2808156211
957	0.2804970498
958	0.2800252493
959	0.2794845971
960	0.2789172107
961	0.2782849543
962	0.2780372581
963	0.2776820566
964	0.2772443526
965	0.2770753135
966	0.2766462918
967	0.2766268022
968	0.2763621291
969	0.2757270888
970	0.275293257
971	0.2747922512
972	0.2743486654
973	0.2743316653
974	0.2738021745
975	0.2733265037
976	0.2729009409
977	0.2724683095
978	0.2720664168
979	0.2716329319
980	0.2712689812
981	0.2711569013
982	0.2704273512
983	0.2702241022
984	0.2695347583
985	0.2690320941
986	0.2685954893
987	0.2679861137
988	0.2673151408
989	0.2668948663
990	0.2665396607
991	0.2655082543
992	0.2652035529
993	0.2646970868
994	0.2635265601
995	0.2629927312
996	0.2627527414
997	0.2624530608
998	0.2620098528
999	0.2614311252
